Date,Station,DayOfWeek,Passengers
2024-01-01,City Hall,수,2734
2024-04-15,Seoul Station,토,4180
2024-11-11,Yeouido,수,4705
2024-06-15,Gangnam,일,1707
2024-11-06,Gangnam,금,4083
2024-10-13,Gwanghwamun,금,1251
2024-03-10,City Hall,토,2318
2024-05-30,Dongdaemun,목,4195
2024-11-16,City Hall,일,3363
2024-05-06,Jamsil,화,718
2024-01-09,Itaewon,목,3898
2024-10-30,Seoul Station,금,936
2024-01-28,Seoul Station,목,3747
2024-12-19,City Hall,수,4612
2024-09-01,Gangnam,수,3563
2024-03-28,Gangnam,금,2431
2024-06-17,Dongdaemun,일,3663
2024-01-20,Jamsil,금,1168
2024-10-29,Seoul Station,목,3571
2024-12-13,Dongdaemun,목,2339
2024-07-17,Gangnam,수,730
2024-06-26,Dongdaemun,일,3110
2024-01-15,Itaewon,화,1311
2024-02-15,Gangnam,토,3246
2024-02-20,Samseong,화,1696
2024-03-14,Jamsil,금,1627
2024-01-16,Yeouido,목,813
2024-01-23,Seoul Station,화,2850
2024-02-11,Gwanghwamun,일,4370
2024-02-27,Itaewon,일,1636
2024-03-09,Hongdae,목,4342
2024-06-15,Yeouido,월,4174
2024-08-05,Gwanghwamun,수,543
2024-11-03,Gangnam,토,1149
2024-01-26,Hongdae,목,655
2024-04-08,City Hall,토,2596
2024-11-02,City Hall,일,2266
2024-05-14,Itaewon,목,1724
2024-12-15,City Hall,목,4995
2024-08-29,Hongdae,토,4823
2024-08-18,Hongdae,일,3967
2024-09-19,Jamsil,일,1410
2024-12-23,Yeouido,토,2860
2024-02-25,Seoul Station,화,2446
2024-11-29,Samseong,목,2967
2024-11-17,Dongdaemun,월,1498
2024-05-07,City Hall,화,891
2024-05-09,Itaewon,금,2453
2024-05-05,City Hall,금,3939
2024-09-25,Dongdaemun,수,4244
2024-08-16,Yeouido,일,1014
2024-09-10,Jamsil,월,1408
2024-03-16,Hongdae,일,4594
2024-12-04,Jamsil,일,4891
2024-04-30,Gangnam,목,634
2024-12-15,City Hall,월,4721
2024-02-19,Seoul Station,금,2481
2024-10-04,Gangnam,목,1676
2024-12-24,Yeouido,월,2886
2024-02-07,City Hall,토,4016
2024-07-17,Gangnam,화,512
2024-05-05,City Hall,목,3390
2024-02-07,Itaewon,일,2470
2024-07-15,Yeouido,토,3912
2024-02-19,Samseong,화,2034
2024-11-15,Hongdae,월,1201
2024-07-14,Gwanghwamun,목,4788
2024-04-08,Hongdae,일,3454
2024-02-18,Hongdae,수,1054
2024-02-07,Gangnam,수,4809
2024-07-25,Yeouido,금,4957
2024-01-17,City Hall,토,4656
2024-06-24,Jamsil,목,4658
2024-04-08,Gwanghwamun,토,666
2024-12-09,Dongdaemun,월,3698
2024-01-29,Gangnam,일,4351
2024-11-13,Gwanghwamun,수,856
2024-09-11,Samseong,일,3669
2024-12-06,Itaewon,토,3558
2024-11-16,Yeouido,일,2577
2024-05-23,Dongdaemun,금,633
2024-09-15,Gangnam,목,3425
2024-02-17,Hongdae,수,1053
2024-12-20,Seoul Station,토,3324
2024-07-26,Gangnam,토,2475
2024-03-07,Seoul Station,일,1349
2024-07-04,Hongdae,목,3223
2024-09-09,Itaewon,일,1592
2024-06-30,Yeouido,금,863
2024-01-28,City Hall,월,3386
2024-01-04,Gangnam,금,4972
2024-11-12,Jamsil,월,3273
2024-02-04,Hongdae,화,1934
2024-06-19,Gangnam,토,4306
2024-11-08,Samseong,토,4420
2024-06-21,Itaewon,수,1993
2024-08-09,Samseong,화,1604
2024-09-20,Gwanghwamun,토,1016
2024-03-07,Yeouido,월,4249
2024-08-07,Gwanghwamun,목,802
2024-02-03,Gangnam,월,2903
2024-03-24,Dongdaemun,일,2151
2024-05-21,Dongdaemun,토,858
2024-11-30,Yeouido,토,2134
2024-05-22,Jamsil,일,843
2024-03-26,Itaewon,월,3085
2024-12-13,Jamsil,목,3040
2024-05-27,Itaewon,화,4722
2024-01-15,Hongdae,토,3762
2024-05-29,Gangnam,수,4948
2024-02-20,Gwanghwamun,월,4378
2024-06-28,Dongdaemun,월,2575
2024-06-21,Samseong,수,799
2024-11-20,City Hall,일,2065
2024-01-16,Seoul Station,월,2843
2024-05-18,City Hall,수,3424
2024-05-29,Gwanghwamun,수,891
2024-10-31,Gwanghwamun,수,3219
2024-01-07,Itaewon,목,2738
2024-09-11,Jamsil,화,1519
2024-05-23,City Hall,화,3514
2024-03-18,Itaewon,금,4079
2024-03-17,Itaewon,목,3776
2024-06-20,Jamsil,금,4102
2024-08-02,Samseong,토,3667
2024-12-18,Dongdaemun,일,3277
2024-04-04,Yeouido,화,2030
2024-02-04,Dongdaemun,화,4564
2024-09-13,Seoul Station,화,4575
2024-03-31,City Hall,월,3509
2024-10-31,Dongdaemun,금,4753
2024-07-12,Yeouido,일,2684
2024-06-29,Hongdae,목,1176
2024-01-26,City Hall,금,3977
2024-07-25,Yeouido,토,1146
2024-08-19,Itaewon,화,4027
2024-01-02,Gwanghwamun,목,1978
2024-08-05,Samseong,금,4968
2024-10-15,Seoul Station,화,2906
2024-06-12,Yeouido,화,3131
2024-01-21,Dongdaemun,목,1340
2024-09-13,Gwanghwamun,토,1155
2024-12-26,Dongdaemun,수,3186
2024-09-28,City Hall,목,2921
2024-11-29,Yeouido,수,3010
2024-09-08,Dongdaemun,토,4152
2024-05-22,Jamsil,월,3990
2024-01-05,Gangnam,일,1865
2024-06-05,Gwanghwamun,목,4136
2024-08-20,Hongdae,수,3379
2024-05-19,Gwanghwamun,토,4162
2024-07-24,Dongdaemun,금,846
2024-12-16,Dongdaemun,화,3388
2024-12-17,Seoul Station,월,4063
2024-01-27,Jamsil,목,2749
2024-11-01,Hongdae,수,969
2024-09-13,Samseong,금,1114
2024-09-04,Seoul Station,수,3827
2024-06-10,City Hall,토,3476
2024-02-12,Hongdae,목,4703
2024-06-04,Yeouido,토,1810
2024-02-22,Gangnam,수,755
2024-11-12,Seoul Station,목,1669
2024-05-16,Gangnam,일,4089
2024-05-25,Jamsil,수,785
2024-02-07,City Hall,화,1534
2024-10-02,City Hall,목,1050
2024-03-31,Samseong,일,2433
2024-12-16,City Hall,목,3500
2024-03-24,Dongdaemun,월,3466
2024-01-07,Gwanghwamun,화,3636
2024-08-09,Gwanghwamun,목,765
2024-11-07,Samseong,금,1756
2024-05-30,Dongdaemun,수,4185
2024-01-27,Gwanghwamun,금,3538
2024-02-02,Yeouido,수,3547
2024-07-08,Dongdaemun,토,4136
2024-01-29,Jamsil,수,1129
2024-04-16,Itaewon,월,1627
2024-11-04,Gangnam,일,4837
2024-02-15,Dongdaemun,토,3506
2024-07-30,Gangnam,목,3760
2024-06-19,Yeouido,수,3075
2024-10-24,Itaewon,월,2783
2024-02-23,Hongdae,금,2544
2024-06-28,Samseong,일,1429
2024-05-08,Dongdaemun,토,712
2024-04-05,Samseong,일,2024
2024-04-13,City Hall,토,4588
2024-01-02,Gangnam,월,4741
2024-04-04,Gangnam,금,3670
2024-12-08,City Hall,토,1464
2024-08-02,Hongdae,목,2644
2024-11-01,Seoul Station,일,2632
2024-02-27,Jamsil,수,4155
2024-07-16,Dongdaemun,일,2257
2024-05-22,Gangnam,일,2839
2024-09-08,Jamsil,화,4523
2024-10-21,Gangnam,금,2139
2024-05-23,Seoul Station,일,1504
2024-01-20,City Hall,수,1611
2024-03-03,Seoul Station,화,1106
2024-11-18,Gangnam,토,4203
2024-04-26,City Hall,화,1914
2024-04-23,Seoul Station,금,4146
2024-06-09,Hongdae,수,1219
2024-08-15,City Hall,토,3118
2024-07-30,Dongdaemun,일,3346
2024-04-25,Gangnam,토,1031
2024-01-23,Yeouido,일,4941
2024-09-19,Samseong,토,2878
2024-09-10,Gangnam,토,2957
2024-06-29,Dongdaemun,일,1790
2024-12-02,Gwanghwamun,화,1926
2024-04-04,Jamsil,토,3461
2024-10-30,Jamsil,월,4667
2024-03-06,Samseong,토,2336
2024-01-22,Gangnam,토,1494
2024-10-23,Samseong,월,2146
2024-03-06,Itaewon,수,1637
2024-12-25,Gangnam,일,2439
2024-11-04,City Hall,목,4547
2024-01-30,City Hall,월,715
2024-09-23,Itaewon,금,3456
2024-10-05,Hongdae,수,3522
2024-08-23,Itaewon,토,4328
2024-03-19,Itaewon,화,1563
2024-02-28,Samseong,월,1206
2024-12-09,Seoul Station,수,1038
2024-09-09,City Hall,수,3033
2024-02-05,Seoul Station,토,3761
2024-09-29,Itaewon,목,4421
2024-07-03,Hongdae,화,4806
2024-03-04,City Hall,화,3865
2024-04-13,Gangnam,화,3854
2024-07-13,Gangnam,일,1104
2024-06-26,Gangnam,금,1526
2024-03-25,Dongdaemun,수,3097
2024-03-16,Samseong,금,1107
2024-06-03,Gwanghwamun,금,4186
2024-07-05,Itaewon,수,4316
2024-12-19,Gwanghwamun,일,4738
2024-10-21,Yeouido,화,3322
2024-05-13,Samseong,수,1551
2024-05-28,Gangnam,일,1990
2024-07-04,City Hall,목,1557
2024-08-17,Samseong,일,4044
2024-08-09,Dongdaemun,수,4619
2024-09-02,City Hall,토,953
2024-12-01,Seoul Station,일,1517
2024-10-03,Dongdaemun,수,4744
2024-01-25,Seoul Station,일,1753
2024-11-30,City Hall,월,2991
2024-07-28,Gangnam,목,1848
2024-11-25,Gwanghwamun,월,1826
2024-10-31,Itaewon,화,3143
2024-06-30,Samseong,일,2347
2024-06-14,Samseong,화,3334
2024-10-21,Gangnam,일,4750
2024-04-05,Itaewon,토,2826
2024-03-04,Seoul Station,토,1146
2024-10-09,Gwanghwamun,토,2552
2024-04-01,Itaewon,목,2108
2024-05-27,Seoul Station,일,2748
2024-04-08,Itaewon,일,1525
2024-07-11,Yeouido,금,2980
2024-03-22,Samseong,수,4870
2024-03-28,Yeouido,월,1265
2024-02-28,Itaewon,일,4617
2024-07-20,Dongdaemun,목,1881
2024-05-11,Samseong,월,1763
2024-03-05,Gwanghwamun,수,1902
2024-01-28,Gangnam,금,3265
2024-02-18,Yeouido,월,837
2024-11-27,Gangnam,목,732
2024-08-15,Seoul Station,수,1165
2024-12-20,Jamsil,토,872
2024-05-02,Dongdaemun,토,2668
2024-09-14,Seoul Station,토,2226
2024-10-20,Hongdae,수,3912
2024-01-09,Seoul Station,금,748
2024-03-13,Seoul Station,목,4579
2024-10-26,Jamsil,일,4969
2024-09-26,Samseong,토,2872
2024-11-21,Dongdaemun,수,2974
2024-05-01,Dongdaemun,월,4456
2024-10-07,Gwanghwamun,토,2506
2024-08-28,Seoul Station,화,3826
2024-04-02,Dongdaemun,목,2936
2024-06-02,City Hall,월,4215
2024-03-23,Gwanghwamun,금,1097
2024-12-07,City Hall,금,990
2024-08-26,Jamsil,수,1794
2024-10-12,City Hall,금,4101
2024-09-23,Gangnam,화,3904
2024-10-02,Itaewon,토,4466
2024-03-14,City Hall,월,4304
2024-10-01,Jamsil,토,2171
2024-07-17,Gangnam,일,3286
2024-08-24,Jamsil,목,1676
2024-04-16,Jamsil,토,3060
2024-07-15,Seoul Station,수,3115
2024-12-13,Jamsil,토,3329
2024-11-03,City Hall,목,3766
2024-01-20,Itaewon,월,1571
2024-12-15,Jamsil,화,3535
2024-06-06,Jamsil,월,4718
2024-09-20,Dongdaemun,월,1369
2024-07-30,Hongdae,수,3114
2024-06-06,Yeouido,목,2480
2024-08-15,Gangnam,월,4321
2024-11-12,Hongdae,월,1503
2024-02-06,Gangnam,화,2691
2024-08-14,Yeouido,금,4183
2024-01-19,Itaewon,화,2530
2024-03-10,Gwanghwamun,목,1654
2024-05-08,Yeouido,목,1293
2024-09-04,Samseong,수,914
2024-06-07,Hongdae,토,2877
2024-05-15,City Hall,토,3646
2024-12-17,Seoul Station,토,3925
2024-03-02,Samseong,금,2533
2024-12-22,Jamsil,목,1808
2024-09-04,Jamsil,금,3182
2024-08-18,City Hall,토,3061
2024-04-24,City Hall,토,2055
2024-10-14,Dongdaemun,화,1805
2024-03-19,Gangnam,목,4581
2024-02-20,Dongdaemun,토,4716
2024-03-30,Yeouido,월,4324
2024-06-26,Gwanghwamun,일,4585
2024-09-09,Hongdae,목,3027
2024-08-04,City Hall,금,4574
2024-05-10,Gangnam,목,689
2024-04-12,Hongdae,수,1237
2024-12-16,Yeouido,월,3721
2024-08-14,Gwanghwamun,토,4640
2024-04-25,Samseong,수,4245
2024-04-26,Dongdaemun,화,2472
2024-03-07,Yeouido,목,2262
2024-02-11,Jamsil,목,3390
2024-07-24,Dongdaemun,화,898
2024-11-30,Seoul Station,일,914
2024-10-29,Dongdaemun,수,2804
2024-10-17,Yeouido,월,4554
2024-03-07,City Hall,토,4355
2024-11-18,Gwanghwamun,수,2840
2024-02-21,Yeouido,금,4896
2024-07-01,City Hall,토,566
2024-09-09,City Hall,수,1380
2024-06-12,Dongdaemun,월,4030
2024-05-17,Gwanghwamun,목,1597
2024-03-20,Yeouido,수,2666
2024-11-17,Yeouido,화,3496
2024-04-04,Jamsil,월,3803
2024-03-29,Gangnam,일,3497
2024-01-28,Hongdae,일,870
2024-09-20,Gangnam,목,3781
2024-09-08,Yeouido,월,919
2024-04-28,Dongdaemun,토,2094
2024-10-29,Samseong,화,3469
2024-08-27,Yeouido,토,2864
2024-07-13,Seoul Station,토,1102
2024-10-17,City Hall,금,3664
2024-02-07,Itaewon,월,4630
2024-03-15,Yeouido,월,4189
2024-02-13,Seoul Station,일,2791
2024-02-23,Seoul Station,수,1473
2024-07-10,Hongdae,화,1554
2024-10-19,Gwanghwamun,화,1292
2024-04-17,Yeouido,일,3726
2024-12-04,Gwanghwamun,금,3557
2024-06-27,Samseong,화,3277
2024-04-21,Dongdaemun,월,3495
2024-02-12,Itaewon,일,1681
2024-03-01,Dongdaemun,일,2130
2024-08-12,Seoul Station,금,4670
2024-02-04,City Hall,화,3788
2024-10-01,City Hall,금,4596
2024-09-21,Gwanghwamun,화,829
2024-06-17,Dongdaemun,일,871
2024-11-22,Seoul Station,일,818
2024-03-08,Hongdae,화,1622
2024-12-25,Jamsil,수,3228
2024-02-04,Dongdaemun,일,4380
2024-02-11,Gwanghwamun,화,4754
2024-01-20,Itaewon,일,4243
2024-07-09,Gwanghwamun,금,1720
2024-01-04,Seoul Station,월,4723
2024-01-18,Yeouido,수,1645
2024-11-14,Hongdae,일,3186
2024-06-28,Seoul Station,화,3109
2024-12-17,Hongdae,화,1831
2024-12-12,Gangnam,금,3719
2024-12-18,Gangnam,수,2951
2024-11-11,City Hall,일,3255
2024-06-16,Hongdae,화,4655
2024-10-18,Dongdaemun,월,4675
2024-10-07,Itaewon,토,4860
2024-08-25,Jamsil,일,4512
2024-02-05,Gwanghwamun,월,2955
2024-04-22,Gangnam,화,4390
2024-09-27,Gwanghwamun,월,636
2024-02-06,Gwanghwamun,수,3517
2024-07-12,Itaewon,일,3213
2024-08-22,Seoul Station,일,1397
2024-06-11,Gwanghwamun,화,3912
2024-06-27,Hongdae,금,3020
2024-09-25,Itaewon,수,718
2024-02-23,Gangnam,월,4387
2024-07-19,Yeouido,화,2675
2024-03-01,Gwanghwamun,수,2364
2024-09-30,City Hall,월,920
2024-08-04,Itaewon,화,4435
2024-06-18,Seoul Station,토,1896
2024-10-12,Samseong,목,4794
2024-10-20,Gangnam,금,3614
2024-07-31,Gangnam,월,1710
2024-05-25,Samseong,토,2484
2024-12-09,Hongdae,월,758
2024-09-29,Yeouido,목,1400
2024-10-12,Gangnam,목,2062
2024-08-24,Gangnam,일,655
2024-02-08,Seoul Station,수,4112
2024-10-13,Gangnam,금,3069
2024-06-28,Itaewon,금,3930
2024-06-20,Hongdae,월,1740
2024-05-03,Yeouido,목,3882
2024-12-18,City Hall,금,2170
2024-11-21,Yeouido,화,3861
2024-05-18,Hongdae,금,4610
2024-03-27,Dongdaemun,월,4363
2024-10-01,Itaewon,토,1010
2024-09-20,Dongdaemun,일,1631
2024-05-19,Hongdae,일,4749
2024-07-06,Seoul Station,토,2198
2024-12-29,City Hall,금,3162
2024-12-08,Yeouido,수,4418
2024-02-17,Gwanghwamun,목,4804
2024-08-24,Jamsil,토,3586
2024-02-24,Yeouido,월,3070
2024-05-19,Seoul Station,월,1918
2024-08-05,City Hall,목,4265
2024-09-11,Jamsil,일,4867
2024-07-26,Itaewon,목,3304
2024-01-01,Hongdae,목,4975
2024-10-24,Hongdae,토,3402
2024-01-16,Itaewon,월,2665
2024-03-09,Jamsil,목,4466
2024-09-30,Dongdaemun,토,2075
2024-02-19,City Hall,목,2519
2024-05-03,Itaewon,월,2785
2024-02-27,Jamsil,월,2945
2024-08-22,Gangnam,수,2342
2024-03-06,Yeouido,금,2938
2024-01-01,Seoul Station,화,2867
2024-11-20,Itaewon,월,2198
2024-01-08,Seoul Station,화,4505
2024-09-18,Dongdaemun,수,3097
2024-10-03,Dongdaemun,금,4430
2024-10-13,Gangnam,토,3357
2024-05-21,Hongdae,금,2740
2024-02-06,Itaewon,금,2857
2024-11-30,City Hall,토,1498
2024-11-26,Hongdae,수,4949
2024-01-27,Jamsil,목,3610
2024-10-15,Hongdae,금,3732
2024-02-09,City Hall,금,3327
2024-02-19,Yeouido,수,1699
2024-10-02,Dongdaemun,목,2879
2024-11-10,Yeouido,금,844
2024-02-27,Itaewon,금,2856
2024-08-09,Hongdae,목,1147
2024-12-31,Itaewon,월,3337
2024-08-16,Yeouido,일,4123
2024-12-11,Dongdaemun,토,2600
2024-08-01,Gwanghwamun,월,4424
2024-10-17,Gangnam,일,2252
2024-12-23,Itaewon,토,2155
2024-06-15,Itaewon,토,4912
2024-06-02,Gwanghwamun,일,2721
2024-06-02,Jamsil,금,2725
2024-02-19,Jamsil,토,1624
2024-11-30,Yeouido,일,1394
2024-05-26,Itaewon,화,2460
2024-05-28,Dongdaemun,목,2486
2024-02-21,Seoul Station,목,915
2024-12-09,Yeouido,화,4850
2024-06-17,Yeouido,목,2348
2024-09-27,Gangnam,수,2407
2024-02-28,Itaewon,일,930
2024-06-15,Jamsil,목,1320
2024-03-10,Jamsil,목,3885
2024-05-31,Hongdae,목,3205
2024-06-13,Samseong,토,4369
2024-08-17,Samseong,월,1323
2024-06-05,Samseong,수,1626
2024-06-12,Gangnam,목,542
