CampaignID,CustomerID,Participation,Clicks,Revenue
4,1,1,2,548
1,2,1,19,224
5,3,0,0,0
1,4,0,0,0
5,5,0,0,0
4,6,0,0,0
1,7,0,0,0
1,8,1,7,365
2,9,0,0,0
1,10,0,0,0
5,11,1,14,665
1,12,0,0,0
3,13,0,0,0
5,14,0,0,0
1,15,1,4,296
2,16,0,0,0
3,17,1,1,957
5,18,0,0,0
1,19,1,15,627
5,20,1,1,491
1,21,1,1,199
1,22,0,0,0
3,23,0,0,0
3,24,0,0,0
4,25,0,0,0
2,26,1,20,717
1,27,0,0,0
2,28,1,4,588
4,29,0,0,0
5,30,1,15,544
1,31,0,0,0
2,32,1,12,687
5,33,0,0,0
2,34,0,0,0
2,35,0,0,0
1,36,1,16,106
3,37,0,0,0
3,38,0,0,0
3,39,1,9,779
5,40,0,0,0
5,41,1,18,233
3,42,0,0,0
3,43,1,5,883
2,44,1,7,807
4,45,0,0,0
4,46,0,0,0
1,47,0,0,0
4,48,1,12,841
2,49,0,0,0
3,50,0,0,0
2,51,0,0,0
2,52,0,0,0
1,53,1,16,562
2,54,0,0,0
2,55,1,11,153
5,56,1,9,296
1,57,0,0,0
1,58,0,0,0
1,59,1,5,851
3,60,1,10,972
2,61,0,0,0
3,62,0,0,0
5,63,1,8,964
2,64,0,0,0
3,65,1,1,358
1,66,0,0,0
2,67,0,0,0
5,68,1,15,983
4,69,1,18,496
4,70,0,0,0
2,71,0,0,0
1,72,0,0,0
5,73,0,0,0
4,74,1,18,534
2,75,0,0,0
4,76,0,0,0
1,77,0,0,0
3,78,1,20,886
3,79,0,0,0
4,80,1,19,788
1,81,1,1,391
5,82,0,0,0
5,83,1,11,821
5,84,0,0,0
5,85,0,0,0
2,86,1,14,538
2,87,1,16,253
5,88,1,16,1000
4,89,1,19,598
2,90,1,10,813
1,91,1,7,633
1,92,1,3,188
2,93,0,0,0
4,94,0,0,0
5,95,0,0,0
1,96,0,0,0
4,97,1,2,998
5,98,0,0,0
5,99,0,0,0
4,100,0,0,0
4,101,0,0,0
3,102,0,0,0
4,103,1,16,580
5,104,0,0,0
2,105,0,0,0
5,106,1,6,165
4,107,1,18,864
2,108,0,0,0
5,109,0,0,0
1,110,0,0,0
3,111,0,0,0
3,112,0,0,0
3,113,1,3,212
4,114,0,0,0
1,115,1,11,298
4,116,0,0,0
4,117,1,11,301
4,118,0,0,0
5,119,1,8,201
2,120,0,0,0
3,121,1,2,712
5,122,1,2,431
1,123,0,0,0
5,124,0,0,0
4,125,0,0,0
2,126,0,0,0
5,127,1,8,105
1,128,1,19,821
5,129,0,0,0
1,130,1,4,524
5,131,0,0,0
4,132,0,0,0
3,133,0,0,0
1,134,0,0,0
3,135,0,0,0
3,136,1,3,571
3,137,0,0,0
2,138,0,0,0
2,139,0,0,0
1,140,1,1,406
5,141,1,10,696
3,142,1,19,660
3,143,0,0,0
1,144,1,19,952
5,145,0,0,0
5,146,1,5,582
3,147,1,15,844
5,148,0,0,0
5,149,1,6,665
5,150,0,0,0
1,151,1,11,740
5,152,1,10,150
1,153,0,0,0
3,154,1,12,143
2,155,0,0,0
1,156,0,0,0
4,157,0,0,0
4,158,1,7,255
4,159,0,0,0
4,160,0,0,0
2,161,0,0,0
3,162,0,0,0
1,163,1,19,937
4,164,1,20,519
5,165,1,3,442
4,166,0,0,0
3,167,0,0,0
2,168,1,16,595
5,169,0,0,0
5,170,0,0,0
3,171,0,0,0
3,172,1,10,389
2,173,1,20,798
3,174,1,15,283
2,175,0,0,0
4,176,1,13,180
1,177,1,20,688
1,178,0,0,0
4,179,0,0,0
2,180,0,0,0
4,181,1,5,748
1,182,1,9,145
4,183,0,0,0
1,184,0,0,0
3,185,0,0,0
5,186,0,0,0
2,187,1,8,756
2,188,0,0,0
4,189,0,0,0
2,190,1,20,197
1,191,1,13,884
1,192,1,12,308
3,193,0,0,0
3,194,1,19,553
1,195,0,0,0
4,196,1,18,371
3,197,0,0,0
3,198,1,6,883
4,199,0,0,0
5,200,0,0,0
3,201,1,3,960
1,202,1,16,764
1,203,0,0,0
4,204,0,0,0
4,205,1,2,303
2,206,0,0,0
4,207,1,20,632
5,208,0,0,0
4,209,1,14,550
1,210,1,7,121
4,211,0,0,0
2,212,0,0,0
5,213,0,0,0
3,214,0,0,0
2,215,1,14,588
5,216,0,0,0
5,217,1,15,148
1,218,1,9,826
2,219,0,0,0
5,220,0,0,0
3,221,0,0,0
4,222,1,15,930
3,223,1,9,917
4,224,1,19,203
5,225,1,2,304
2,226,0,0,0
5,227,0,0,0
2,228,0,0,0
2,229,1,17,573
2,230,0,0,0
5,231,1,14,852
3,232,1,20,772
1,233,1,4,972
2,234,0,0,0
2,235,0,0,0
5,236,1,8,425
3,237,0,0,0
4,238,1,12,216
2,239,1,2,614
4,240,1,8,635
1,241,0,0,0
3,242,1,15,305
2,243,1,4,190
4,244,1,6,575
4,245,1,10,326
1,246,0,0,0
4,247,0,0,0
4,248,0,0,0
3,249,1,15,935
5,250,0,0,0
2,251,0,0,0
5,252,1,2,339
2,253,1,19,587
3,254,1,19,958
3,255,1,8,753
2,256,1,20,229
4,257,1,5,460
4,258,0,0,0
1,259,1,9,201
1,260,0,0,0
3,261,0,0,0
4,262,1,5,950
5,263,1,20,998
3,264,0,0,0
3,265,1,14,417
5,266,0,0,0
3,267,0,0,0
1,268,0,0,0
2,269,1,19,581
3,270,1,7,952
3,271,1,4,214
2,272,0,0,0
2,273,1,13,310
1,274,1,15,899
2,275,0,0,0
4,276,0,0,0
4,277,0,0,0
4,278,0,0,0
4,279,1,19,226
1,280,0,0,0
4,281,0,0,0
5,282,0,0,0
1,283,0,0,0
2,284,0,0,0
5,285,1,10,160
3,286,0,0,0
3,287,1,11,113
4,288,1,14,386
2,289,0,0,0
4,290,1,10,391
4,291,1,19,971
1,292,1,17,648
3,293,0,0,0
2,294,1,19,447
5,295,0,0,0
5,296,1,10,331
2,297,1,2,361
4,298,0,0,0
4,299,0,0,0
3,300,1,8,420
2,301,1,12,913
2,302,1,4,414
2,303,1,6,295
4,304,1,14,704
4,305,0,0,0
5,306,1,12,757
1,307,1,3,260
3,308,0,0,0
1,309,0,0,0
5,310,1,8,297
2,311,0,0,0
2,312,1,6,531
5,313,0,0,0
2,314,1,11,754
2,315,1,18,469
2,316,1,2,655
3,317,0,0,0
3,318,1,10,911
2,319,0,0,0
4,320,1,14,238
2,321,0,0,0
3,322,0,0,0
1,323,1,7,722
1,324,0,0,0
4,325,1,1,312
4,326,0,0,0
2,327,1,14,741
4,328,1,3,267
3,329,1,12,308
2,330,1,1,633
1,331,0,0,0
2,332,0,0,0
5,333,1,8,987
3,334,0,0,0
2,335,1,17,484
1,336,0,0,0
3,337,1,7,585
4,338,1,2,189
5,339,1,4,929
1,340,1,19,979
5,341,1,11,191
3,342,1,20,188
3,343,0,0,0
2,344,1,5,726
1,345,1,13,901
1,346,0,0,0
2,347,0,0,0
4,348,0,0,0
3,349,1,20,566
4,350,0,0,0
2,351,0,0,0
2,352,0,0,0
1,353,0,0,0
5,354,1,2,847
3,355,0,0,0
3,356,0,0,0
1,357,1,6,735
3,358,1,14,822
4,359,0,0,0
4,360,1,6,533
1,361,1,20,801
1,362,0,0,0
3,363,0,0,0
1,364,1,13,306
4,365,1,11,976
1,366,0,0,0
1,367,0,0,0
5,368,0,0,0
2,369,0,0,0
1,370,1,1,307
4,371,0,0,0
3,372,1,1,487
2,373,1,14,157
3,374,1,17,833
3,375,0,0,0
2,376,1,17,805
5,377,1,10,682
3,378,0,0,0
5,379,1,7,666
4,380,1,17,170
1,381,1,2,780
1,382,1,4,250
2,383,1,2,503
5,384,1,17,629
4,385,0,0,0
3,386,0,0,0
3,387,1,19,916
3,388,0,0,0
1,389,0,0,0
3,390,0,0,0
5,391,1,8,889
3,392,1,9,695
5,393,1,7,392
2,394,0,0,0
5,395,1,14,603
3,396,1,16,246
4,397,0,0,0
2,398,1,6,688
2,399,1,5,388
1,400,1,9,454
4,401,0,0,0
4,402,1,15,815
5,403,1,19,524
5,404,1,10,175
5,405,0,0,0
4,406,1,3,422
1,407,0,0,0
4,408,1,16,688
4,409,0,0,0
3,410,0,0,0
5,411,0,0,0
5,412,1,9,807
2,413,0,0,0
1,414,1,17,960
4,415,0,0,0
3,416,1,6,845
4,417,0,0,0
2,418,0,0,0
4,419,1,7,949
4,420,0,0,0
1,421,1,4,680
5,422,1,13,984
2,423,1,5,789
4,424,1,15,562
5,425,0,0,0
2,426,1,9,236
3,427,1,8,870
4,428,1,9,261
2,429,1,19,345
1,430,0,0,0
4,431,0,0,0
1,432,1,12,446
1,433,1,17,442
2,434,1,12,784
4,435,0,0,0
1,436,0,0,0
5,437,1,1,887
2,438,1,19,491
5,439,0,0,0
4,440,1,17,894
1,441,0,0,0
2,442,0,0,0
4,443,0,0,0
4,444,0,0,0
2,445,1,6,894
5,446,1,16,729
4,447,1,7,418
3,448,0,0,0
3,449,0,0,0
3,450,0,0,0
2,451,0,0,0
3,452,0,0,0
2,453,0,0,0
5,454,1,15,507
3,455,0,0,0
2,456,0,0,0
2,457,0,0,0
3,458,0,0,0
4,459,1,6,909
2,460,0,0,0
4,461,1,17,709
1,462,0,0,0
2,463,0,0,0
5,464,1,17,209
3,465,0,0,0
1,466,0,0,0
2,467,1,14,539
4,468,0,0,0
5,469,0,0,0
1,470,0,0,0
3,471,1,11,942
5,472,0,0,0
4,473,0,0,0
5,474,0,0,0
1,475,1,16,869
1,476,0,0,0
2,477,0,0,0
3,478,1,8,973
5,479,0,0,0
1,480,1,6,100
2,481,1,3,819
1,482,0,0,0
1,483,1,6,288
2,484,0,0,0
2,485,1,7,612
3,486,1,16,298
1,487,1,16,732
3,488,0,0,0
2,489,1,11,643
4,490,1,8,131
4,491,1,9,163
4,492,1,15,745
4,493,0,0,0
3,494,0,0,0
3,495,1,15,570
2,496,0,0,0
5,497,0,0,0
3,498,1,20,665
4,499,0,0,0
1,500,1,1,828
5,501,0,0,0
4,502,0,0,0
5,503,1,19,485
4,504,0,0,0
2,505,0,0,0
5,506,0,0,0
5,507,1,19,765
2,508,0,0,0
5,509,0,0,0
2,510,1,6,227
4,511,1,9,814
3,512,1,13,794
4,513,0,0,0
1,514,0,0,0
4,515,0,0,0
2,516,0,0,0
5,517,1,2,334
1,518,0,0,0
1,519,1,13,231
1,520,0,0,0
2,521,0,0,0
5,522,0,0,0
4,523,1,3,268
1,524,1,19,298
4,525,0,0,0
5,526,1,4,187
5,527,1,1,796
3,528,0,0,0
3,529,0,0,0
1,530,0,0,0
3,531,0,0,0
2,532,0,0,0
5,533,1,20,698
2,534,1,13,916
5,535,0,0,0
3,536,0,0,0
3,537,0,0,0
3,538,1,17,137
5,539,1,1,568
3,540,0,0,0
5,541,0,0,0
1,542,0,0,0
4,543,1,20,701
3,544,0,0,0
3,545,0,0,0
5,546,1,14,490
3,547,0,0,0
5,548,0,0,0
3,549,0,0,0
4,550,1,20,262
1,551,0,0,0
2,552,1,19,153
3,553,0,0,0
2,554,0,0,0
2,555,0,0,0
3,556,1,11,252
5,557,1,8,736
2,558,0,0,0
2,559,1,18,284
5,560,0,0,0
2,561,1,18,394
3,562,1,16,410
3,563,0,0,0
2,564,0,0,0
3,565,1,12,178
1,566,1,8,234
1,567,0,0,0
2,568,1,3,559
2,569,0,0,0
4,570,0,0,0
1,571,1,20,410
1,572,0,0,0
5,573,0,0,0
2,574,0,0,0
2,575,0,0,0
2,576,0,0,0
2,577,0,0,0
3,578,0,0,0
3,579,1,6,626
4,580,1,15,137
4,581,0,0,0
2,582,1,5,912
4,583,1,19,731
2,584,0,0,0
4,585,1,4,447
5,586,1,14,201
1,587,0,0,0
2,588,1,1,788
4,589,0,0,0
5,590,1,6,875
1,591,0,0,0
1,592,1,17,272
4,593,0,0,0
5,594,1,15,400
4,595,0,0,0
2,596,0,0,0
1,597,0,0,0
5,598,1,6,174
4,599,1,1,819
1,600,1,15,967
3,601,0,0,0
4,602,1,13,566
5,603,1,6,270
3,604,1,11,996
5,605,0,0,0
4,606,1,9,424
3,607,0,0,0
5,608,0,0,0
5,609,1,3,134
4,610,0,0,0
5,611,0,0,0
2,612,0,0,0
5,613,0,0,0
1,614,1,13,268
5,615,1,10,508
2,616,1,14,268
5,617,0,0,0
5,618,1,6,111
2,619,0,0,0
5,620,1,17,349
2,621,1,6,838
1,622,0,0,0
1,623,0,0,0
4,624,1,1,148
4,625,0,0,0
1,626,1,17,848
1,627,1,4,583
4,628,1,20,731
2,629,1,7,515
2,630,0,0,0
1,631,1,19,812
4,632,1,7,240
2,633,1,10,770
3,634,0,0,0
2,635,1,15,510
4,636,0,0,0
1,637,0,0,0
1,638,0,0,0
1,639,0,0,0
2,640,1,18,265
2,641,0,0,0
1,642,1,17,225
3,643,0,0,0
3,644,0,0,0
3,645,1,6,412
3,646,1,11,340
2,647,1,7,396
5,648,0,0,0
3,649,0,0,0
2,650,1,6,831
4,651,1,1,837
2,652,0,0,0
2,653,0,0,0
1,654,0,0,0
2,655,1,8,972
2,656,0,0,0
5,657,0,0,0
1,658,1,12,213
5,659,0,0,0
2,660,1,16,811
2,661,1,15,572
4,662,0,0,0
3,663,1,3,321
4,664,0,0,0
4,665,0,0,0
2,666,1,13,186
2,667,1,15,735
1,668,0,0,0
4,669,1,19,859
5,670,0,0,0
5,671,0,0,0
3,672,1,2,118
2,673,0,0,0
1,674,1,14,265
4,675,0,0,0
3,676,1,16,298
4,677,0,0,0
4,678,1,18,952
2,679,0,0,0
5,680,1,8,248
3,681,1,2,975
3,682,0,0,0
2,683,1,5,827
3,684,1,20,901
2,685,1,14,621
2,686,1,9,484
5,687,0,0,0
2,688,0,0,0
3,689,0,0,0
4,690,1,4,844
1,691,1,12,326
2,692,1,12,365
3,693,1,11,171
3,694,1,18,907
2,695,1,5,905
5,696,0,0,0
2,697,1,13,350
4,698,0,0,0
1,699,0,0,0
3,700,1,19,440
5,701,1,13,898
1,702,1,3,950
2,703,1,17,752
4,704,0,0,0
2,705,0,0,0
5,706,1,15,694
3,707,0,0,0
3,708,0,0,0
1,709,0,0,0
5,710,1,19,270
2,711,0,0,0
4,712,0,0,0
1,713,0,0,0
3,714,1,13,434
3,715,1,6,455
2,716,1,10,814
3,717,0,0,0
2,718,0,0,0
4,719,1,20,882
3,720,0,0,0
2,721,0,0,0
4,722,0,0,0
4,723,0,0,0
5,724,0,0,0
4,725,0,0,0
3,726,0,0,0
3,727,1,18,897
4,728,0,0,0
1,729,0,0,0
1,730,0,0,0
5,731,1,6,700
1,732,1,1,836
2,733,0,0,0
2,734,1,12,990
1,735,1,9,911
2,736,1,19,294
3,737,0,0,0
2,738,0,0,0
1,739,0,0,0
3,740,1,1,581
4,741,0,0,0
4,742,1,10,381
3,743,1,9,421
5,744,1,20,200
1,745,0,0,0
2,746,0,0,0
4,747,0,0,0
2,748,1,19,890
5,749,1,20,411
3,750,0,0,0
4,751,0,0,0
5,752,0,0,0
3,753,1,9,584
1,754,1,15,898
5,755,1,4,166
2,756,0,0,0
2,757,1,5,496
5,758,0,0,0
2,759,1,14,417
4,760,0,0,0
1,761,0,0,0
1,762,0,0,0
4,763,0,0,0
4,764,1,17,467
4,765,1,10,324
4,766,1,5,959
5,767,0,0,0
3,768,1,1,814
4,769,1,2,768
5,770,1,8,963
3,771,1,2,474
5,772,1,5,219
4,773,0,0,0
4,774,0,0,0
2,775,0,0,0
2,776,0,0,0
3,777,1,10,549
5,778,1,3,147
5,779,1,5,328
3,780,1,7,508
1,781,1,18,666
1,782,0,0,0
2,783,1,2,596
1,784,0,0,0
1,785,1,12,490
5,786,0,0,0
5,787,1,2,232
4,788,1,15,405
1,789,0,0,0
5,790,0,0,0
5,791,0,0,0
1,792,1,3,947
5,793,1,6,151
1,794,1,15,353
5,795,1,15,644
1,796,0,0,0
3,797,1,4,818
1,798,1,16,107
4,799,0,0,0
2,800,0,0,0
1,801,1,20,936
3,802,0,0,0
1,803,0,0,0
4,804,0,0,0
5,805,1,19,859
5,806,0,0,0
3,807,0,0,0
1,808,1,2,525
1,809,1,6,248
3,810,1,11,184
4,811,0,0,0
5,812,1,9,930
1,813,0,0,0
1,814,0,0,0
3,815,0,0,0
5,816,1,18,435
4,817,0,0,0
4,818,1,3,273
2,819,0,0,0
4,820,0,0,0
3,821,1,10,999
5,822,0,0,0
2,823,0,0,0
3,824,1,15,906
4,825,1,13,584
4,826,0,0,0
4,827,0,0,0
1,828,0,0,0
5,829,0,0,0
4,830,1,2,934
2,831,1,9,452
4,832,1,3,611
3,833,1,20,990
1,834,1,20,234
5,835,1,12,168
2,836,1,9,739
1,837,0,0,0
4,838,1,20,488
3,839,0,0,0
3,840,0,0,0
2,841,1,20,799
4,842,0,0,0
1,843,1,20,111
3,844,1,1,304
2,845,0,0,0
5,846,0,0,0
4,847,1,11,659
3,848,0,0,0
3,849,0,0,0
1,850,1,5,507
1,851,0,0,0
4,852,1,18,291
1,853,0,0,0
1,854,0,0,0
3,855,0,0,0
4,856,1,9,958
2,857,0,0,0
1,858,0,0,0
5,859,0,0,0
5,860,0,0,0
3,861,1,9,739
5,862,1,17,275
3,863,0,0,0
3,864,1,20,138
3,865,1,6,930
3,866,1,15,625
3,867,0,0,0
4,868,1,4,233
5,869,1,18,922
5,870,0,0,0
5,871,0,0,0
4,872,1,20,309
5,873,1,7,429
4,874,0,0,0
1,875,0,0,0
3,876,0,0,0
2,877,1,16,716
3,878,1,8,483
4,879,0,0,0
3,880,1,1,797
5,881,0,0,0
4,882,0,0,0
1,883,0,0,0
4,884,0,0,0
3,885,0,0,0
2,886,1,19,660
3,887,0,0,0
3,888,1,13,974
1,889,0,0,0
1,890,1,6,261
1,891,0,0,0
5,892,0,0,0
2,893,1,4,563
1,894,0,0,0
2,895,1,14,234
3,896,1,8,197
4,897,0,0,0
2,898,0,0,0
1,899,1,11,477
2,900,0,0,0
4,901,1,10,819
3,902,1,8,266
4,903,1,3,969
5,904,1,7,833
4,905,1,11,567
3,906,1,20,188
5,907,1,4,540
1,908,1,1,485
4,909,0,0,0
2,910,1,13,960
1,911,0,0,0
4,912,0,0,0
4,913,1,3,206
2,914,1,16,668
1,915,0,0,0
3,916,0,0,0
2,917,0,0,0
1,918,0,0,0
1,919,0,0,0
3,920,1,10,215
5,921,1,13,433
2,922,1,16,661
1,923,1,17,516
4,924,0,0,0
5,925,1,3,345
1,926,0,0,0
4,927,1,9,326
5,928,0,0,0
4,929,0,0,0
5,930,0,0,0
3,931,1,18,693
1,932,0,0,0
3,933,1,13,702
3,934,0,0,0
2,935,0,0,0
3,936,0,0,0
4,937,0,0,0
4,938,1,9,960
5,939,1,9,588
4,940,0,0,0
5,941,1,14,235
2,942,1,7,538
4,943,0,0,0
3,944,0,0,0
2,945,0,0,0
2,946,0,0,0
2,947,1,4,192
4,948,1,2,416
4,949,0,0,0
5,950,0,0,0
4,951,1,8,228
5,952,0,0,0
1,953,1,19,281
2,954,0,0,0
5,955,0,0,0
4,956,1,8,890
4,957,0,0,0
2,958,0,0,0
1,959,1,1,607
1,960,0,0,0
2,961,1,5,605
4,962,1,19,163
2,963,1,1,766
2,964,0,0,0
2,965,0,0,0
4,966,0,0,0
4,967,0,0,0
4,968,1,18,463
5,969,1,1,792
5,970,1,2,300
1,971,1,10,918
4,972,0,0,0
5,973,1,8,705
4,974,0,0,0
3,975,0,0,0
3,976,0,0,0
3,977,1,12,388
4,978,0,0,0
5,979,0,0,0
1,980,0,0,0
1,981,0,0,0
4,982,1,4,769
5,983,0,0,0
4,984,1,19,385
2,985,1,13,685
4,986,0,0,0
5,987,1,19,159
1,988,0,0,0
5,989,0,0,0
4,990,1,17,930
3,991,0,0,0
3,992,0,0,0
4,993,1,13,160
3,994,0,0,0
5,995,0,0,0
3,996,0,0,0
4,997,1,12,576
5,998,0,0,0
2,999,0,0,0
2,1000,1,11,555
