CustomerID,PurchaseHistory,TotalSpent
1,21,1050
2,5,100
3,12,516
4,13,585
5,44,3696
6,36,684
7,35,455
8,23,414
9,28,476
10,7,231
11,39,2496
12,45,1260
13,3,69
14,5,50
15,6,594
16,44,2948
17,40,2880
18,19,1463
19,41,3772
20,24,1392
21,30,870
22,5,150
23,28,588
24,19,760
25,42,1176
26,2,32
27,11,418
28,17,425
29,35,2905
30,17,1156
31,9,333
32,22,1452
33,28,1036
34,44,1276
35,12,768
36,47,2162
37,28,2016
38,43,731
39,31,2356
40,21,693
41,2,54
42,2,134
43,43,4214
44,35,2870
45,9,108
46,12,456
47,20,1060
48,8,648
49,16,896
50,16,480
51,28,2464
52,42,3696
53,39,1365
54,38,1216
55,2,166
56,7,77
57,21,1344
58,36,1512
59,35,2450
60,30,2580
61,22,528
62,24,408
63,49,3234
64,2,104
65,38,3762
66,10,720
67,23,1978
68,24,2112
69,7,154
70,47,1786
71,20,1400
72,44,2244
73,11,187
74,40,2760
75,34,2584
76,24,336
77,20,200
78,1,58
79,20,940
80,17,1394
81,43,2322
82,45,2025
83,16,544
84,12,636
85,6,96
86,8,720
87,1,88
88,1,78
89,28,728
90,18,1314
91,33,1749
92,37,3478
93,4,184
94,31,1333
95,25,625
96,39,585
97,6,492
98,48,720
99,18,1080
100,40,2600
101,23,506
102,14,392
103,46,1794
104,24,1680
105,31,2480
106,14,1218
107,4,120
108,35,2625
109,15,1320
110,11,1034
111,43,4171
112,9,783
113,11,1034
114,39,3822
115,27,1053
116,21,1470
117,40,2760
118,20,1900
119,7,581
120,1,81
121,11,792
122,10,150
123,17,612
124,44,2156
125,46,966
126,46,3220
127,30,750
128,30,1500
129,2,150
130,25,1925
131,16,464
132,11,957
133,49,1911
134,21,1827
135,37,2368
136,8,256
137,5,455
138,29,1102
139,12,156
140,16,1184
141,39,3549
142,48,1632
143,13,1235
144,35,945
145,3,222
146,37,3589
147,18,918
148,39,1287
149,3,219
150,43,3870
151,11,154
152,48,4080
153,1,17
154,15,240
155,2,76
156,45,630
157,5,115
158,41,2706
159,37,3441
160,41,451
161,9,234
162,16,816
163,40,1600
164,13,312
165,45,945
166,6,156
167,9,630
168,18,180
169,36,360
170,31,899
171,6,486
172,46,3956
173,14,1148
174,36,972
175,41,1927
176,16,1552
177,46,2070
178,31,682
179,2,84
180,49,3626
181,17,1360
182,4,192
183,22,2024
184,40,2920
185,32,992
186,32,1120
187,31,2263
188,7,476
189,12,1164
190,41,1886
191,15,1260
192,42,3948
193,37,1739
194,13,676
195,9,585
196,18,1026
197,29,2784
198,26,2574
199,17,646
200,29,493
201,22,440
202,26,936
203,7,364
204,34,3094
205,31,1705
206,13,325
207,28,2772
208,17,867
209,36,1728
210,14,994
211,35,1155
212,28,1512
213,6,114
214,11,561
215,38,1292
216,15,1350
217,34,2788
218,15,885
219,44,3916
220,20,1760
221,23,1104
222,9,513
223,32,672
224,47,1128
225,20,1800
226,5,295
227,47,893
228,35,2415
229,22,1452
230,19,722
231,30,570
232,15,1350
233,26,676
234,11,924
235,4,176
236,24,1752
237,45,3645
238,38,2014
239,1,88
240,11,891
241,40,3560
242,33,1848
243,9,594
244,10,920
245,37,1517
246,26,2392
247,49,2352
248,46,4508
249,46,920
250,6,516
251,33,2343
252,24,1536
253,19,209
254,24,1056
255,2,82
256,31,1209
257,7,105
258,32,640
259,19,494
260,38,2736
261,9,153
262,7,84
263,13,1131
264,14,1148
265,41,1640
266,45,1575
267,6,324
268,6,138
269,42,2394
270,47,3713
271,47,2632
272,18,774
273,3,90
274,41,3239
275,26,442
276,48,2304
277,19,418
278,44,1804
279,6,504
280,25,1875
281,14,252
282,40,1480
283,9,108
284,1,13
285,20,1180
286,23,1748
287,26,988
288,27,1026
289,45,810
290,28,1316
291,22,2090
292,23,943
293,33,924
294,41,943
295,31,868
296,28,308
297,45,4230
298,29,2001
299,40,3200
300,4,236
301,1,98
302,24,1704
303,27,1485
304,47,1457
305,42,4116
306,4,48
307,19,798
308,38,2166
309,14,588
310,21,735
311,47,1504
312,22,682
313,33,462
314,2,128
315,27,1755
316,4,52
317,32,1280
318,45,3870
319,49,1372
320,9,810
321,1,69
322,41,1804
323,21,672
324,13,390
325,19,779
326,18,1116
327,32,1504
328,21,1953
329,26,2496
330,17,1292
331,32,2144
332,42,1386
333,33,660
334,33,792
335,7,546
336,25,2225
337,32,2112
338,46,4508
339,31,806
340,32,1056
341,47,1316
342,40,880
343,1,55
344,40,1360
345,11,748
346,32,1856
347,19,627
348,3,288
349,7,511
350,47,1222
351,10,610
352,48,1296
353,28,980
354,33,2904
355,8,456
356,35,3430
357,35,875
358,33,759
359,21,252
360,43,1763
361,30,1980
362,41,1189
363,36,2304
364,42,3066
365,32,2752
366,43,2322
367,40,2320
368,48,1248
369,5,60
370,16,544
371,25,250
372,17,1071
373,22,1144
374,9,279
375,14,1022
376,33,3102
377,17,1360
378,29,290
379,35,1470
380,41,4059
381,35,1925
382,42,756
383,34,1768
384,40,720
385,7,462
386,2,62
387,18,180
388,26,624
389,7,259
390,11,726
391,42,2058
392,27,1296
393,16,1584
394,35,910
395,24,816
396,22,1408
397,7,84
398,13,416
399,9,666
400,5,145
401,5,70
402,35,2310
403,48,2112
404,35,3150
405,48,1680
406,26,1664
407,26,1950
408,38,570
409,25,750
410,22,1914
411,24,1560
412,4,200
413,9,243
414,20,860
415,33,1056
416,16,208
417,4,132
418,23,1840
419,48,1584
420,48,4272
421,12,864
422,9,198
423,33,2277
424,19,627
425,1,74
426,11,484
427,48,1248
428,21,1365
429,36,2268
430,46,3036
431,1,84
432,33,2607
433,36,2808
434,9,378
435,16,688
436,3,51
437,29,1044
438,10,730
439,21,1050
440,33,1221
441,5,330
442,27,1566
443,5,410
444,32,640
445,30,1530
446,16,1008
447,31,527
448,46,1104
449,31,1271
450,38,1482
451,45,3780
452,17,527
453,10,140
454,19,1843
455,40,1720
456,12,288
457,9,729
458,45,1125
459,22,572
460,18,234
461,15,1215
462,1,54
463,33,2178
464,47,470
465,10,660
466,26,2548
467,17,1360
468,36,792
469,6,540
470,7,364
471,26,1222
472,35,840
473,39,2379
474,36,2304
475,35,1575
476,14,1372
477,6,258
478,32,352
479,32,2464
480,33,2244
481,32,2432
482,34,3026
483,27,567
484,49,4753
485,39,1950
486,34,1836
487,3,159
488,42,3612
489,15,555
490,30,2070
491,38,3610
492,36,2304
493,6,342
494,39,702
495,48,1200
496,16,1440
497,22,880
498,13,273
499,12,996
500,27,594
501,12,156
502,48,4656
503,14,644
504,10,300
505,22,374
506,47,3431
507,27,2106
508,22,1804
509,26,884
510,43,3182
511,22,1078
512,5,355
513,29,319
514,10,480
515,33,627
516,40,3680
517,3,225
518,9,360
519,17,850
520,37,3441
521,31,1674
522,48,624
523,23,253
524,29,580
525,15,150
526,44,3564
527,30,2580
528,33,2079
529,8,768
530,37,370
531,10,570
532,36,1368
533,4,196
534,33,2970
535,22,638
536,1,14
537,32,1632
538,39,2613
539,15,945
540,17,340
541,38,1710
542,29,2030
543,31,1302
544,25,1075
545,43,3182
546,46,3542
547,43,3741
548,46,460
549,17,272
550,5,110
551,42,1218
552,38,2546
553,46,2438
554,42,756
555,49,2401
556,21,630
557,1,93
558,48,2736
559,36,3240
560,45,2205
561,10,540
562,18,1746
563,48,2736
564,40,1480
565,29,1856
566,39,2067
567,45,3915
568,31,2294
569,37,2479
570,41,3034
571,40,1440
572,22,902
573,13,208
574,22,1606
575,22,594
576,27,2403
577,17,238
578,41,3444
579,34,1326
580,26,520
581,46,920
582,48,4464
583,5,465
584,44,2420
585,15,1470
586,9,801
587,45,4050
588,16,1296
589,39,3354
590,15,1230
591,11,451
592,45,1395
593,10,140
594,13,663
595,34,408
596,21,924
597,11,352
598,33,1353
599,9,351
600,49,3087
601,35,910
602,16,576
603,22,748
604,19,1235
605,47,2021
606,40,480
607,34,3196
608,37,1961
609,25,2025
610,29,1972
611,39,2340
612,47,2021
613,6,414
614,22,1540
615,42,1008
616,41,984
617,16,1504
618,21,1806
619,49,1274
620,33,2178
621,3,114
622,21,1071
623,37,1073
624,39,1365
625,15,975
626,29,1334
627,29,2378
628,40,920
629,29,551
630,46,4416
631,30,930
632,15,1035
633,43,1075
634,25,575
635,33,2112
636,11,341
637,24,1080
638,34,2958
639,38,3306
640,47,2303
641,20,1080
642,7,434
643,5,255
644,44,2332
645,42,2814
646,17,1275
647,21,1113
648,39,2184
649,41,1353
650,34,680
651,19,342
652,43,2193
653,17,1088
654,10,470
655,18,756
656,41,533
657,8,752
658,38,3382
659,15,1455
660,17,595
661,18,864
662,22,308
663,25,2000
664,9,756
665,47,2397
666,21,525
667,18,288
668,15,1290
669,32,704
670,6,78
671,49,4214
672,27,1998
673,22,242
674,5,490
675,35,2625
676,39,1053
677,46,4278
678,45,2790
679,49,3185
680,42,1764
681,30,720
682,49,1666
683,37,925
684,33,1452
685,3,279
686,2,102
687,25,650
688,32,2304
689,30,2700
690,11,385
691,31,2852
692,36,2124
693,38,1672
694,11,429
695,22,1298
696,3,120
697,22,704
698,3,282
699,26,1014
700,35,1750
701,28,392
702,47,4089
703,22,1034
704,27,2376
705,7,294
706,7,161
707,24,816
708,42,4032
709,40,3360
710,18,1314
711,49,1960
712,3,270
713,46,3864
714,3,234
715,15,795
716,1,96
717,5,415
718,8,512
719,7,119
720,33,2937
721,45,1665
722,46,552
723,12,828
724,2,76
725,42,3402
726,24,1440
727,16,1392
728,33,1485
729,9,189
730,35,1120
731,32,2848
732,4,76
733,8,208
734,3,39
735,27,378
736,30,660
737,36,828
738,18,1782
739,30,1680
740,18,1134
741,24,2016
742,47,1034
743,31,1395
744,8,416
745,38,3724
746,7,224
747,44,1408
748,19,684
749,7,511
750,3,147
751,11,143
752,35,2730
753,30,2400
754,19,627
755,42,672
756,12,924
757,46,1656
758,48,2064
759,26,624
760,9,468
761,11,748
762,42,3234
763,1,69
764,12,144
765,49,1715
766,41,1189
767,1,26
768,39,1989
769,45,4050
770,17,544
771,5,300
772,38,2698
773,29,2117
774,41,3854
775,10,340
776,41,3690
777,47,611
778,2,92
779,48,3792
780,36,2520
781,37,740
782,1,47
783,3,120
784,33,2409
785,10,890
786,49,3332
787,22,1056
788,28,336
789,29,812
790,38,3116
791,17,476
792,2,114
793,16,1328
794,4,220
795,10,710
796,27,1188
797,43,3612
798,7,280
799,6,168
800,35,455
801,15,1485
802,11,132
803,2,34
804,17,238
805,38,988
806,16,320
807,35,1575
808,14,1274
809,49,1911
810,22,1848
811,41,3813
812,41,3034
813,32,2816
814,38,760
815,32,2592
816,13,1118
817,33,2772
818,24,768
819,40,2160
820,1,35
821,15,435
822,28,2268
823,20,1460
824,33,1947
825,47,1692
826,47,4183
827,27,2565
828,8,256
829,5,435
830,47,3337
831,43,3483
832,19,1235
833,36,756
834,3,294
835,36,1656
836,37,1850
837,10,920
838,30,2580
839,49,3087
840,21,1092
841,13,1248
842,33,957
843,39,3744
844,43,1075
845,13,221
846,19,1501
847,34,3026
848,3,234
849,8,240
850,6,492
851,34,3026
852,19,1102
853,5,185
854,3,54
855,7,343
856,6,462
857,6,522
858,33,2244
859,32,480
860,10,490
861,20,1740
862,43,473
863,13,468
864,33,660
865,45,1530
866,37,2923
867,35,3220
868,7,343
869,26,2470
870,24,1056
871,38,798
872,16,1376
873,34,1870
874,15,630
875,15,300
876,36,2232
877,31,1767
878,38,3116
879,12,696
880,44,3168
881,25,500
882,39,507
883,46,2668
884,16,1120
885,36,2088
886,18,1206
887,14,742
888,30,2370
889,32,960
890,17,663
891,11,605
892,38,1786
893,19,532
894,24,792
895,23,1886
896,49,882
897,37,1887
898,45,3870
899,17,221
900,45,3735
901,6,264
902,20,1740
903,39,858
904,1,75
905,31,1643
906,15,750
907,25,1125
908,20,920
909,48,2112
910,6,546
911,42,2688
912,21,1512
913,22,814
914,27,2349
915,42,924
916,34,850
917,42,4116
918,29,2523
919,4,68
920,11,913
921,26,546
922,47,3525
923,15,525
924,27,540
925,1,26
926,41,1517
927,46,2668
928,17,374
929,45,2655
930,27,2457
931,40,2800
932,1,58
933,40,1600
934,4,356
935,35,3255
936,18,1620
937,46,3358
938,25,2150
939,34,3230
940,5,470
941,38,684
942,35,665
943,6,354
944,18,1620
945,23,1311
946,15,1485
947,5,195
948,30,2820
949,46,2944
950,34,2278
951,49,2744
952,8,296
953,21,588
954,34,3094
955,46,3358
956,28,1624
957,3,138
958,45,2430
959,47,1504
960,48,1488
961,24,672
962,42,2856
963,33,1617
964,23,1219
965,27,2268
966,13,858
967,34,2822
968,11,110
969,30,840
970,44,4356
971,28,1288
972,46,1242
973,2,30
974,8,736
975,47,4277
976,11,891
977,26,910
978,16,800
979,34,510
980,44,880
981,9,765
982,36,576
983,30,960
984,26,1534
985,42,3738
986,27,1269
987,21,1533
988,40,2120
989,41,2378
990,28,2016
991,38,1254
992,42,3780
993,30,420
994,44,2904
995,4,144
996,34,3298
997,37,888
998,2,126
999,25,1250
1000,10,450
