CustomerID,Satisfaction
1,1
2,1
3,10
4,4
5,4
6,9
7,9
8,10
9,3
10,9
11,7
12,5
13,7
14,1
15,1
16,3
17,6
18,2
19,1
20,1
21,7
22,10
23,5
24,10
25,1
26,4
27,10
28,8
29,5
30,9
31,2
32,4
33,10
34,10
35,1
36,1
37,8
38,6
39,3
40,8
41,5
42,4
43,9
44,3
45,9
46,9
47,2
48,1
49,9
50,6
51,5
52,4
53,6
54,9
55,6
56,5
57,7
58,10
59,9
60,1
61,10
62,8
63,6
64,3
65,1
66,4
67,10
68,3
69,9
70,9
71,7
72,7
73,4
74,5
75,3
76,1
77,7
78,10
79,10
80,8
81,9
82,9
83,9
84,1
85,9
86,3
87,8
88,6
89,10
90,10
91,1
92,5
93,1
94,9
95,3
96,1
97,8
98,8
99,3
100,9
101,7
102,7
103,7
104,9
105,4
106,3
107,6
108,5
109,6
110,7
111,5
112,7
113,9
114,9
115,5
116,2
117,6
118,2
119,10
120,2
121,10
122,1
123,10
124,6
125,5
126,5
127,10
128,4
129,9
130,7
131,6
132,6
133,4
134,3
135,3
136,8
137,4
138,6
139,7
140,9
141,2
142,10
143,10
144,7
145,7
146,2
147,9
148,5
149,9
150,5
151,3
152,2
153,10
154,1
155,7
156,6
157,10
158,7
159,6
160,7
161,1
162,3
163,10
164,6
165,1
166,8
167,10
168,8
169,10
170,2
171,4
172,1
173,9
174,2
175,2
176,8
177,1
178,6
179,7
180,1
181,10
182,9
183,7
184,2
185,5
186,2
187,1
188,9
189,2
190,8
191,5
192,7
193,9
194,9
195,6
196,4
197,5
198,7
199,1
200,6
201,3
202,10
203,8
204,3
205,3
206,6
207,1
208,10
209,8
210,2
211,3
212,3
213,4
214,6
215,4
216,4
217,1
218,3
219,1
220,5
221,2
222,3
223,1
224,4
225,4
226,10
227,5
228,1
229,5
230,6
231,4
232,3
233,4
234,10
235,3
236,10
237,1
238,4
239,6
240,5
241,3
242,9
243,9
244,5
245,1
246,10
247,5
248,10
249,9
250,9
251,5
252,1
253,1
254,1
255,6
256,1
257,2
258,1
259,1
260,10
261,7
262,4
263,5
264,3
265,9
266,9
267,5
268,3
269,3
270,10
271,8
272,2
273,1
274,10
275,7
276,8
277,1
278,2
279,1
280,6
281,1
282,1
283,4
284,10
285,9
286,2
287,9
288,2
289,2
290,9
291,1
292,9
293,1
294,8
295,8
296,7
297,6
298,5
299,3
300,3
301,7
302,7
303,4
304,8
305,3
306,4
307,1
308,7
309,6
310,9
311,7
312,5
313,1
314,9
315,7
316,7
317,5
318,5
319,4
320,8
321,10
322,7
323,10
324,10
325,8
326,7
327,1
328,4
329,8
330,2
331,6
332,8
333,2
334,7
335,2
336,8
337,8
338,1
339,5
340,6
341,10
342,8
343,2
344,2
345,2
346,3
347,3
348,9
349,5
350,1
351,7
352,10
353,10
354,10
355,6
356,6
357,2
358,7
359,3
360,1
361,3
362,7
363,3
364,9
365,7
366,5
367,9
368,5
369,7
370,7
371,3
372,1
373,4
374,8
375,2
376,3
377,6
378,1
379,4
380,8
381,3
382,8
383,9
384,9
385,1
386,8
387,9
388,6
389,10
390,8
391,5
392,8
393,7
394,1
395,6
396,9
397,7
398,4
399,2
400,4
401,2
402,1
403,5
404,10
405,9
406,2
407,2
408,5
409,3
410,7
411,5
412,7
413,7
414,1
415,1
416,1
417,1
418,9
419,10
420,9
421,2
422,8
423,2
424,3
425,8
426,10
427,3
428,6
429,9
430,3
431,4
432,1
433,3
434,8
435,3
436,8
437,1
438,7
439,2
440,1
441,5
442,3
443,1
444,10
445,4
446,7
447,8
448,5
449,10
450,10
451,7
452,3
453,6
454,10
455,5
456,2
457,4
458,5
459,3
460,10
461,9
462,5
463,3
464,5
465,4
466,4
467,9
468,2
469,7
470,2
471,5
472,8
473,10
474,5
475,7
476,9
477,9
478,1
479,9
480,3
481,3
482,6
483,9
484,7
485,1
486,2
487,3
488,9
489,3
490,9
491,6
492,2
493,1
494,4
495,2
496,2
497,10
498,10
499,1
500,4
501,6
502,7
503,8
504,7
505,6
506,6
507,9
508,1
509,9
510,4
511,6
512,3
513,9
514,1
515,8
516,5
517,10
518,3
519,5
520,2
521,8
522,6
523,3
524,9
525,5
526,2
527,10
528,3
529,1
530,7
531,10
532,2
533,7
534,2
535,5
536,5
537,8
538,7
539,1
540,4
541,2
542,6
543,9
544,6
545,7
546,7
547,9
548,3
549,9
550,10
551,5
552,10
553,7
554,8
555,4
556,7
557,7
558,3
559,5
560,3
561,9
562,8
563,7
564,8
565,5
566,7
567,2
568,4
569,8
570,2
571,10
572,8
573,9
574,3
575,5
576,8
577,2
578,10
579,4
580,6
581,8
582,10
583,1
584,4
585,2
586,4
587,5
588,3
589,8
590,10
591,1
592,4
593,9
594,9
595,4
596,1
597,5
598,6
599,8
600,7
601,8
602,5
603,1
604,5
605,4
606,5
607,3
608,10
609,3
610,8
611,5
612,6
613,1
614,5
615,3
616,8
617,4
618,2
619,4
620,6
621,5
622,2
623,4
624,8
625,7
626,9
627,6
628,10
629,9
630,8
631,1
632,7
633,5
634,10
635,8
636,6
637,10
638,10
639,5
640,2
641,10
642,8
643,6
644,9
645,5
646,2
647,1
648,9
649,7
650,2
651,3
652,7
653,7
654,5
655,8
656,8
657,8
658,7
659,3
660,8
661,6
662,2
663,5
664,2
665,2
666,5
667,1
668,1
669,9
670,4
671,8
672,5
673,10
674,5
675,7
676,1
677,9
678,7
679,6
680,6
681,3
682,4
683,3
684,3
685,7
686,5
687,9
688,1
689,9
690,2
691,3
692,10
693,1
694,2
695,5
696,10
697,8
698,4
699,2
700,9
701,10
702,2
703,9
704,3
705,5
706,5
707,8
708,6
709,3
710,9
711,2
712,10
713,5
714,1
715,8
716,8
717,9
718,6
719,4
720,6
721,10
722,9
723,7
724,1
725,9
726,2
727,9
728,2
729,6
730,9
731,5
732,5
733,4
734,2
735,6
736,9
737,4
738,7
739,9
740,8
741,9
742,8
743,3
744,6
745,10
746,8
747,4
748,5
749,8
750,9
751,7
752,4
753,8
754,7
755,10
756,4
757,8
758,9
759,10
760,6
761,7
762,7
763,3
764,1
765,1
766,9
767,4
768,7
769,3
770,8
771,5
772,8
773,6
774,8
775,1
776,6
777,3
778,8
779,8
780,4
781,6
782,4
783,6
784,3
785,3
786,2
787,5
788,6
789,3
790,8
791,2
792,10
793,8
794,4
795,1
796,7
797,4
798,4
799,4
800,4
801,4
802,10
803,4
804,6
805,1
806,3
807,10
808,4
809,9
810,5
811,5
812,5
813,3
814,7
815,10
816,6
817,3
818,2
819,3
820,10
821,7
822,8
823,8
824,8
825,4
826,9
827,7
828,9
829,4
830,3
831,5
832,3
833,4
834,4
835,4
836,4
837,3
838,3
839,4
840,10
841,2
842,7
843,5
844,7
845,1
846,2
847,2
848,1
849,4
850,10
851,7
852,7
853,9
854,6
855,8
856,4
857,8
858,8
859,10
860,8
861,2
862,9
863,10
864,6
865,3
866,7
867,6
868,5
869,6
870,4
871,10
872,2
873,1
874,1
875,9
876,8
877,5
878,1
879,2
880,5
881,9
882,8
883,2
884,5
885,2
886,4
887,6
888,8
889,5
890,10
891,10
892,6
893,9
894,10
895,6
896,7
897,10
898,7
899,4
900,8
901,6
902,7
903,8
904,8
905,10
906,4
907,3
908,5
909,4
910,3
911,1
912,2
913,9
914,8
915,3
916,7
917,1
918,9
919,2
920,10
921,6
922,10
923,6
924,1
925,10
926,5
927,4
928,10
929,8
930,5
931,1
932,9
933,9
934,2
935,4
936,2
937,10
938,1
939,7
940,8
941,3
942,10
943,4
944,9
945,5
946,1
947,10
948,1
949,5
950,3
951,8
952,4
953,7
954,3
955,7
956,6
957,9
958,8
959,8
960,10
961,7
962,2
963,9
964,5
965,9
966,6
967,1
968,3
969,3
970,6
971,4
972,1
973,5
974,10
975,5
976,3
977,10
978,5
979,2
980,10
981,6
982,9
983,3
984,1
985,4
986,8
987,3
988,2
989,9
990,9
991,8
992,9
993,6
994,2
995,4
996,7
997,3
998,5
999,6
1000,4
